event_date,event_end_date,stock_id,stock_name,market,event_type,event_name,event_status,event_confidence,catalyst_tags,source,source_url,days_to_event,proximity_bucket,expected_impact,notes,last_updated
20260515,20260515,8463,潤泰材,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-105,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260518,20260518,2642,宅配通,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-102,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260518,20260518,9940,信義,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-102,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260519,20260519,1710,東聯,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-101,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260520,20260520,1773,勝一,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-100,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260520,20260520,2420,新巨,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-100,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260520,20260520,2444,兆勁,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-100,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260520,20260520,2614,東森,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-100,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260520,20260520,2712,遠雄來,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-100,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260520,20260520,2912,統一超,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-100,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260520,20260520,3416,融程電,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-100,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260520,20260520,4904,遠傳,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-100,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260520,20260520,5292,華懋,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-100,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260520,20260520,6116,彩晶,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-100,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260520,20260520,6719,力智,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-100,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260520,20260520,6794,向榮生技,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-100,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260520,20260520,6955,邦睿生技-創,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-100,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260520,20260520,9945,潤泰新,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-100,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260521,20260521,2017,官田鋼,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-99,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260521,20260521,2351,順德,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-99,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260521,20260521,2515,中工,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-99,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260521,20260521,2606,裕民,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-99,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260521,20260521,3027,盛達,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-99,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260521,20260521,3443,創意,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-99,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260521,20260521,4571,鈞興-KY,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-99,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260521,20260521,7730,暉盛-創,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-99,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260521,20260521,7827,漢康-KY創,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-99,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260521,20260521,9942,茂順,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-99,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,00771,元大US高息特別股,TWSE,ex_dividend,除息,confirmed,high,dividend_calendar,TWSE ex-right/ex-dividend calendar,https://www.twse.com.tw/rwd/zh/exRight/TWT48U?response=json,-4,recent,calendar_event_not_standalone_catalyst,cash_dividend=0.21000000; ex_right_dividend_flag=息,2026-05-26 06:32:12 Asia/Taipei
20260522,20260522,00850,元大臺灣ESG永續,TWSE,ex_dividend,除息,confirmed,high,dividend_calendar,TWSE ex-right/ex-dividend calendar,https://www.twse.com.tw/rwd/zh/exRight/TWT48U?response=json,-4,recent,calendar_event_not_standalone_catalyst,cash_dividend=0.85000000; ex_right_dividend_flag=息,2026-05-26 06:32:12 Asia/Taipei
20260522,20260522,1101,台泥乙特,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,1103,嘉泥,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,1232,大統益,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,1314,中石化,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,1338,廣華-KY,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,1416,廣豐,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,1417,嘉裕,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,1528,恩德,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,1529,樂事綠能,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,1609,大亞,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,2002,中鋼特別股,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,2014,中鴻,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,2634,漢翔,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,2637,慧洋-KY,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,2845,遠東銀,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,2850,新產,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,3006,晶豪科,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,3257,虹冠電,TWSE,ex_dividend,除息,confirmed,high,dividend_calendar,TWSE ex-right/ex-dividend calendar,https://www.twse.com.tw/rwd/zh/exRight/TWT48U?response=json,-4,recent,calendar_event_not_standalone_catalyst,cash_dividend=2.80000000; ex_right_dividend_flag=息,2026-05-26 06:32:12 Asia/Taipei
20260522,20260522,4119,旭富,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,4994,傳奇,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,5521,工信,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,6139,亞翔,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,6443,元晶,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,6645,金萬林-創,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,6657,華安,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
20260522,20260522,6919,康霈*,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-98,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-08-28 18:13:28 Asia/Taipei
