lineage_id,field_name,model_family,artifact_path,artifact_role,producer,identity_columns,as_of_columns,canonical_source_artifact,allowed_consumer_modules,allowed_use,forbidden_use,collision_policy,parity_policy,contract_sha256,last_migration_id,approval_reference,required_validation_commands,notes
advisory_volume_breakout_rank__volume_watch_current,advisory_volume_breakout_rank,volume_v2_watch_score_rank_current,output/latest/volume_breakout_watch_latest.csv,canonical_advisory_source,scripts/build_volume_breakout_watch.py,signal_date;stock_id,advisory_score_as_of,output/latest/volume_breakout_watch_latest.csv,build_daily_market_report_artifacts.py;scripts/build_volume_attack_theme_layer.py;scripts/validate_volume_attack_theme_layer.py;scripts/validate_volume_breakout_watch.py;scripts/validate_daily_canonical_field_lineage.py,volume_v2_scoped_advisory_rank_source,formal_dispatch_or_cross_model_business_use,canonical_only,watch_rank_order_and_theme_exact_value_as_of_source_sha_parity,180958e8c6cd1ce167a64b7dd8b89fcd5404db238381a5cfc1ebf2a8c8499dde,canonical_field_consumer_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_volume_attack_theme_layer.py;python scripts/validate_volume_breakout_watch.py --latest-only;python -m pytest tests/test_daily_canonical_field_lineage.py,Volume-v2 scope only; watch rank is advisory and cannot enter formal dispatch.
volume_breakout_rank__volume_attack_theme_advisory,volume_breakout_rank,volume_v2_watch_score_rank_current,output/latest/volume_attack_theme_stocks_latest.csv,advisory_projection,scripts/build_volume_attack_theme_layer.py,signal_date;stock_id,volume_watch_as_of,output/latest/volume_breakout_watch_latest.csv,scripts/validate_volume_attack_theme_layer.py;scripts/validate_daily_canonical_field_lineage.py;scripts/generate_chatgpt_side_daily_reports.py,volume_v2_scoped_advisory_theme_rank_mirror,formal_model_gate_score_or_cross_model_business_use,registered_projection_only,watch_rank_order_and_theme_exact_value_as_of_source_sha_parity,e79e4df751926beac7b5eac3ed09eb30a1fb86c98ecdcb409af5058279e0c6d4,canonical_field_consumer_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_volume_attack_theme_layer.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Volume-v2 scope only; theme rank mirror is advisory with pinned watch lineage.
score__all_candidates_current,score,volume_v2_candidate_score_rank_current,output/latest/all_candidates_latest.csv,candidate_source_context,build_all_candidates_latest.py,signal_date;source_row_index;stock_id,signal_date,output/latest/all_candidates_latest.csv,build_daily_market_report_artifacts.py;merge_warrant_flow_into_candidates.py;scripts/apply_fundamental_catalyst_layer.py;scripts/apply_revenue_industry_applicability.py;scripts/build_candidate_repeat_appearance.py;scripts/build_daily_theme_leadership_layer.py;scripts/build_individual_stock_chatgpt_packets.py;scripts/build_non_revenue_momentum_watch.py;scripts/build_surge_precondition_model.py;scripts/build_theme_event_watch.py;scripts/build_volume_v2_warrant_lineage_history_audit.py;scripts/generate_individual_stock_report.py;scripts/update_daily_candidate_signal_log.py;scripts/update_daily_published_model_snapshots.py;scripts/validate_volume_v2_warrant_lineage_history_audit.py;scripts/validate_daily_canonical_field_lineage.py,volume_v2_scoped_candidate_source_audit_context,formal_dispatch_score_or_cross_model_business_use,formal_dispatch_forbidden,current_candidate_score_audit_only,f875a030a96dac34a635370ca60c6741dd4d309800207bbfea63c19f728807fc,canonical_field_consumer_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Volume-v2 scope only; generic candidate score is retained for audit and forbidden from formal dispatch.
score__all_candidates_history,score,volume_v2_candidate_score_rank_history,output/history/daily_model_snapshots/all_candidates_*.csv,historical_candidate_source_context,scripts/update_daily_published_model_snapshots.py,signal_date;source_row_index;stock_id,signal_date,output/history/daily_model_snapshots/all_candidates_*.csv,scripts/build_volume_v2_warrant_lineage_history_audit.py;scripts/validate_volume_v2_warrant_lineage_history_audit.py;scripts/validate_daily_canonical_field_lineage.py,volume_v2_scoped_immutable_historical_candidate_audit,rewrite_history_or_formal_dispatch_score,formal_dispatch_forbidden,paired_historical_candidate_score_audit_only,0f4160dbd4ef3ea0f097c8497e545f49db36cb3c9e438af9e306100d059b6057,volume_v2_score_rank_canonical_field_lineage_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Volume-v2 scope only; historical candidate score is audited in place and never rewritten.
rank__all_candidates_current,rank,volume_v2_candidate_score_rank_current,output/latest/all_candidates_latest.csv,candidate_source_context,build_all_candidates_latest.py,signal_date;source_row_index;stock_id,signal_date,output/latest/all_candidates_latest.csv,build_daily_market_report_artifacts.py;merge_warrant_flow_into_candidates.py;scripts/apply_fundamental_catalyst_layer.py;scripts/apply_revenue_industry_applicability.py;scripts/build_candidate_repeat_appearance.py;scripts/build_daily_theme_leadership_layer.py;scripts/build_individual_stock_chatgpt_packets.py;scripts/build_non_revenue_momentum_watch.py;scripts/build_surge_precondition_model.py;scripts/build_theme_event_watch.py;scripts/build_volume_v2_warrant_lineage_history_audit.py;scripts/generate_individual_stock_report.py;scripts/update_daily_candidate_signal_log.py;scripts/update_daily_published_model_snapshots.py;scripts/validate_volume_v2_warrant_lineage_history_audit.py;scripts/validate_daily_canonical_field_lineage.py,volume_v2_scoped_candidate_source_audit_context,formal_dispatch_rank_or_cross_model_business_use,formal_dispatch_forbidden,current_candidate_rank_audit_only,a79ca4b4465f946936636c5ae552799d7c47f1fae2137e4391ccbbd436e63dcc,canonical_field_consumer_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Volume-v2 scope only; generic candidate rank is retained for audit and forbidden from formal dispatch.
rank__all_candidates_history,rank,volume_v2_candidate_score_rank_history,output/history/daily_model_snapshots/all_candidates_*.csv,historical_candidate_source_context,scripts/update_daily_published_model_snapshots.py,signal_date;source_row_index;stock_id,signal_date,output/history/daily_model_snapshots/all_candidates_*.csv,scripts/build_volume_v2_warrant_lineage_history_audit.py;scripts/validate_volume_v2_warrant_lineage_history_audit.py;scripts/validate_daily_canonical_field_lineage.py,volume_v2_scoped_immutable_historical_candidate_audit,rewrite_history_or_formal_dispatch_rank,formal_dispatch_forbidden,paired_historical_candidate_rank_audit_only,6ff30ce45f54afce94dbe93910870444da10c2941f8ab418367b9b1d0125b98f,volume_v2_score_rank_canonical_field_lineage_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Volume-v2 scope only; historical candidate rank is audited in place and never rewritten.
final_rank_score__formal_raw_current,final_rank_score,volume_v2_formal_score_rank_current,output/latest/daily_candidate_model_signals_latest.csv,formal_canonical,scripts/build_daily_candidate_model_layer.py,signal_date;report_bucket;source_row_index;stock_id;model_id,signal_date,output/latest/daily_candidate_model_signals_latest.csv,scripts/build_daily_report_model_summary.py;scripts/validate_daily_warrant_formal_sync_scope.py;scripts/validate_daily_canonical_field_lineage.py,volume_v2_scoped_formal_score_and_rank,watch_or_candidate_generic_score_override,canonical_only,raw_formal_model_score_equals_final_rank_score,7ea89c3af7a2af90c688d3036702dbb70405d5774c28243b77aa7522ba15b881,volume_v2_score_rank_canonical_field_lineage_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Volume-v2 scope only; final_rank_score is the formal raw canonical score.
final_rank_score__formal_report_current,final_rank_score,volume_v2_formal_score_rank_current,output/latest/daily_candidate_model_signals_for_report_latest.csv,formal_projection,scripts/build_daily_candidate_model_layer.py,signal_date;report_line;source_row_index;stock_id;model_id,signal_date,output/latest/daily_candidate_model_signals_latest.csv,scripts/build_daily_report_model_summary.py;scripts/build_daily_volume_breakout_operation_section.py;scripts/build_volume_v2_warrant_lineage_history_audit.py;scripts/generate_chatgpt_side_daily_reports.py;scripts/update_daily_published_model_snapshots.py;scripts/validate_volume_v2_warrant_lineage_history_audit.py;scripts/validate_daily_warrant_formal_sync_scope.py;scripts/validate_daily_canonical_field_lineage.py,volume_v2_scoped_formal_report_score_and_rank,candidate_reconstruction_or_advisory_watch_fallback,registered_projection_only,raw_to_report_exact_final_rank_score_parity,1d9bcf142d5017b30e9aca2b96bac526745e8f4d36e118e27de18a47f9823fdd,canonical_field_consumer_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python scripts/validate_daily_volume_breakout_operation_section.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Volume-v2 scope only; report score mirrors the formal raw canonical score.
final_rank_score__formal_report_history,final_rank_score,volume_v2_formal_score_rank_history,output/history/daily_model_snapshots/daily_candidate_model_signals_for_report_*.csv,historical_formal_projection,scripts/update_daily_published_model_snapshots.py,signal_date;report_line;source_row_index;stock_id;model_id,signal_date,output/history/daily_model_snapshots/daily_candidate_model_signals_for_report_*.csv,scripts/build_daily_volume_breakout_operation_section.py;scripts/build_volume_v2_warrant_lineage_history_audit.py;scripts/validate_volume_v2_warrant_lineage_history_audit.py;scripts/validate_daily_warrant_formal_sync_scope.py;scripts/validate_daily_canonical_field_lineage.py,volume_v2_scoped_immutable_historical_formal_score_audit,rewrite_or_promote_from_superseded_history,immutable_historical_audit_only,paired_historical_formal_final_rank_score_parity,b1003d96981ad70f892ea6d451774b0229356fd96d87a2da2a9412fac27f722d,canonical_field_consumer_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Volume-v2 scope only; historical formal score remains immutable paired audit evidence.
final_rank_score__operation_current,final_rank_score,volume_v2_formal_operation_current,output/latest/daily_volume_breakout_operation_section_latest.csv,direct_operation_projection,scripts/build_daily_volume_breakout_operation_section.py,operation_asof_date;pdf_view;pdf_section;stock_id;model_id,operation_asof_date,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/generate_chatgpt_side_daily_reports.py;scripts/update_daily_published_model_snapshots.py;scripts/validate_daily_volume_breakout_operation_section.py;scripts/validate_daily_canonical_field_lineage.py,volume_v2_scoped_direct_operation_score_mirror,research_score_reconstruction_or_advisory_watch_fallback,registered_projection_only,formal_report_to_operation_exact_final_rank_score_parity,7cc4aafcfa511d61c55620a5f4a85d7a9bb2ae8b21b63fd7046a1c71bf6de043,canonical_field_consumer_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_volume_breakout_operation_section.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Volume-v2 scope only; operation adapter directly mirrors the formal report final_rank_score.
model_score__formal_raw_current,model_score,volume_v2_formal_score_rank_current,output/latest/daily_candidate_model_signals_latest.csv,formal_canonical,scripts/build_daily_candidate_model_layer.py,signal_date;report_bucket;source_row_index;stock_id;model_id,signal_date,output/latest/daily_candidate_model_signals_latest.csv,scripts/build_daily_report_model_summary.py;scripts/validate_daily_warrant_formal_sync_scope.py;scripts/validate_daily_canonical_field_lineage.py,volume_v2_scoped_formal_score_and_rank,watch_or_candidate_generic_score_override,canonical_only,raw_model_score_equals_final_rank_score,bdec9642d299db27d1cb80b3a37005c51338e182d5d8340c03c7fafdbc8eff3a,volume_v2_score_rank_canonical_field_lineage_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Volume-v2 scope only; model_score is pinned to the formal raw final_rank_score.
model_score__formal_report_current,model_score,volume_v2_formal_score_rank_current,output/latest/daily_candidate_model_signals_for_report_latest.csv,formal_projection,scripts/build_daily_candidate_model_layer.py,signal_date;report_line;source_row_index;stock_id;model_id,signal_date,output/latest/daily_candidate_model_signals_latest.csv,scripts/audit_daily_candidate_pipeline_integrity.py;scripts/audit_daily_data_layer_consistency.py;scripts/build_daily_report_model_summary.py;scripts/build_daily_volume_breakout_operation_section.py;scripts/generate_chatgpt_side_daily_reports.py;scripts/update_daily_published_model_snapshots.py;scripts/validate_daily_candidate_model_layer.py;scripts/validate_daily_warrant_formal_sync_scope.py;scripts/validate_daily_canonical_field_lineage.py,volume_v2_scoped_formal_report_score_and_rank,candidate_reconstruction_or_advisory_watch_fallback,registered_projection_only,raw_to_report_exact_model_score_parity,4967f530a63da98f1154c15d2521f0f917ecb3599339d9a9ca40b9e4db28ba6e,canonical_field_consumer_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Volume-v2 scope only; report model_score exactly mirrors the formal raw score.
model_score__formal_report_history,model_score,volume_v2_formal_score_rank_history,output/history/daily_model_snapshots/daily_candidate_model_signals_for_report_*.csv,historical_formal_projection,scripts/update_daily_published_model_snapshots.py,signal_date;report_line;source_row_index;stock_id;model_id,signal_date,output/history/daily_model_snapshots/daily_candidate_model_signals_for_report_*.csv,scripts/build_daily_published_snapshot_ranking_backtest.py;scripts/build_daily_volume_breakout_operation_section.py;scripts/build_volume_v2_warrant_lineage_history_audit.py;scripts/validate_volume_v2_warrant_lineage_history_audit.py;scripts/validate_daily_warrant_formal_sync_scope.py;scripts/validate_daily_canonical_field_lineage.py,volume_v2_scoped_immutable_historical_formal_score_audit,rewrite_or_promote_from_superseded_history,immutable_historical_audit_only,paired_historical_formal_model_score_parity,3b43e4297bc7a211981748be91b82754cd6ecfb653bffdade939664b5b58cc4d,canonical_field_consumer_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Volume-v2 scope only; historical formal model_score remains immutable paired audit evidence.
model_rank__formal_raw_current,model_rank,volume_v2_formal_score_rank_current,output/latest/daily_candidate_model_signals_latest.csv,formal_canonical,scripts/build_daily_candidate_model_layer.py,signal_date;report_bucket;source_row_index;stock_id;model_id,signal_date,output/latest/daily_candidate_model_signals_latest.csv,scripts/build_daily_report_model_summary.py;scripts/validate_daily_warrant_formal_sync_scope.py;scripts/validate_daily_canonical_field_lineage.py,volume_v2_scoped_formal_score_and_rank,watch_or_candidate_generic_rank_override,canonical_only,raw_model_rank_contiguous_by_report_bucket_and_model,7d4a890c7368031857f96427f2e5a6f2871f4814c9bfe94b0d8334585d417808,volume_v2_score_rank_canonical_field_lineage_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Volume-v2 scope only; model_rank is the formal raw canonical rank.
